number,actualNumRPs,actualSeed,autoShootingPositions,avgAgility,avgBallControl,avgDefense,avgDrivingAbility,avgGearControl,avgGearsEjectedTele,avgGearsFumbledTele,avgGearsPlacedAuto,avgGearsPlacedByLiftAuto,avgGearsPlacedByLiftTele,avgGearsPlacedTele,avgHighShotsAuto,avgHighShotsTele,avgHoppersOpenedAuto,avgHoppersOpenedTele,avgKeyShotTime,avgLowShotsAuto,avgLowShotsTele,avgSpeed,baselineReachedPercentage,disabledPercentage,disfunctionalPercentage,firstPickAbility,firstPickRotorBonusChance,gearScoringPositionsAuto,incapacitatedPercentage,liftoffAbility,liftoffPercentage,overallSecondPickAbility,pitAllImageURLs,pitAvailableWeight,pitCheesecake,pitDidTankTread,pitNotes,pitOrganization,pitProgrammingLanguage,pitSelectedImageName,predictedNumRPs,predictedSeed,RScoreAgility,RScoreBallControl,RScoreDefense,RScoreDrivingAbility,RScoreGearControl,RScoreSpeed,sdBaselineReachedPercentage,sdGearsPlacedAuto,sdGearsPlacedTele,sdHighShotsAuto,sdHighShotsTele,sdLiftoffAbility,sdLowShotsAuto,sdLowShotsTele
3303,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
5458,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
1422,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
973,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
972,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
3970,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
1678,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
2073,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
812,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
1671,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
3859,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
751,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
585,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
4990,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
2813,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
670,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
2761,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
2643,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
4255,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
2135,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
5677,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
4543,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
5104,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
4171,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
4711,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
3482,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
3501,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
4135,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
3189,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
6059,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
5852,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
649,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
4973,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
1458,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
1662,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
5817,,,,,,,,,,,,"{'lift1': None, 'lift2': None, 'lift3': None}","{'lift1': None, 'lift2': None, 'lift3': None}",,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,
